"DateTime","Valgte kategorier"
"July 20, 2019",105.61403508771929
"July 22, 2019",114.83709273182956
"July 23, 2019",78.94736842105262
"July 24, 2019",76.64160401002505
"July 25, 2019",76.2406015037594
"July 26, 2019",71.97994987468671
"July 27, 2019",68.8220551378446
"July 29, 2019",87.61904761904762
"July 30, 2019",121.9047619047619
"July 31, 2019",116.19047619047618
"August  1, 2019",95.6892230576441
"August  2, 2019",87.5689223057644
"August  3, 2019",78.14536340852129
"August  5, 2019",99.24812030075188
"August  6, 2019",109.82456140350875
"August  7, 2019",91.52882205513785
"August  8, 2019",99.74937343358395
"August  9, 2019",99.79949874686717
"August 10, 2019",140.55137844611528
"August 12, 2019",118.09523809523807
"August 13, 2019",110.92731829573934
"August 14, 2019",109.62406015037594
"August 15, 2019",109.97493734335839
